"店舗名","稼働日数","客数","新規","実客数","請求金額計","★支払い合計","現金","売掛金","ﾌﾟﾘﾍﾟｲﾄﾞ","EC連携","PAX-A920","クレジットカード","サブスク連携","ポイント支払い","外部ポイント","振り込み","返金対応","電子マネー","★掛回収","★総売上","施術売上","店販売上","役務売上","ﾁｹｯﾄ消化","ﾌﾟﾘﾍﾟｲﾄﾞ消化","項目割引","損金","ｷｬﾝｾﾙ手数料","ｸﾚｼﾞｯﾄ手数料","未払金"
"La pilates 高崎","30","330","40","165","4,178,200","4,178,200","87,900","396,800","0","0","999,100","2,319,500","52,000","0","1,100","300,800","0","21,000","352,800","3,825,400","50,000","0","3,775,400","2,809,700","0","0","0","0","0","0"
"合計","","","","","4,178,200","4,178,200","87,900","396,800","0","0","999,100","2,319,500","52,000","0","1,100","300,800","0","21,000","352,800","3,825,400","50,000","0","3,775,400","2,809,700","0","0","0","0","0","0"
