"店舗名","稼働日数","客数","新規","実客数","請求金額計","★支払い合計","現金","売掛金","ﾌﾟﾘﾍﾟｲﾄﾞ","EC連携","PAX-A920","クレジットカード","サブスク連携","ポイント支払い","外部ポイント","振り込み","返金対応","電子マネー","★掛回収","★総売上","施術売上","店販売上","役務売上","ﾁｹｯﾄ消化","ﾌﾟﾘﾍﾟｲﾄﾞ消化","項目割引","損金","ｷｬﾝｾﾙ手数料","ｸﾚｼﾞｯﾄ手数料","未払金"
"La pilates 川越","30","468","38","217","4,914,800","4,914,800","63,500","256,000","0","0","940,800","3,418,500","44,500","0","500","167,000","0","24,000","290,000","4,624,800","40,000","0","4,584,800","4,009,528","0","0","0","0","0","0"
"合計","","","","","4,914,800","4,914,800","63,500","256,000","0","0","940,800","3,418,500","44,500","0","500","167,000","0","24,000","290,000","4,624,800","40,000","0","4,584,800","4,009,528","0","0","0","0","0","0"
