"店舗名","稼働日数","客数","新規","実客数","請求金額計","★支払い合計","現金","売掛金","ﾌﾟﾘﾍﾟｲﾄﾞ","EC連携","PAX-A920","クレジットカード","サブスク連携","ポイント支払い","外部ポイント","振り込み","返金対応","電子マネー","★掛回収","★総売上","施術売上","店販売上","役務売上","ﾁｹｯﾄ消化","ﾌﾟﾘﾍﾟｲﾄﾞ消化","項目割引","損金","ｷｬﾝｾﾙ手数料","ｸﾚｼﾞｯﾄ手数料","未払金"
"La pilates 神戸元町","30","542","49","271","6,866,845","6,866,845","89,000","129,000","0","0","2,624,580","3,961,500","59,000","0","1,500","1,000","0","1,265","129,000","6,737,845","57,000","7,745","6,673,100","4,961,970","0","0","0","0","0","0"
"合計","","","","","6,866,845","6,866,845","89,000","129,000","0","0","2,624,580","3,961,500","59,000","0","1,500","1,000","0","1,265","129,000","6,737,845","57,000","7,745","6,673,100","4,961,970","0","0","0","0","0","0"
