"店舗名","稼働日数","客数","新規","実客数","請求金額計","★支払い合計","現金","売掛金","ﾌﾟﾘﾍﾟｲﾄﾞ","EC連携","PAX-A920","クレジットカード","サブスク連携","ポイント支払い","外部ポイント","振り込み","返金対応","電子マネー","★掛回収","★総売上","施術売上","店販売上","役務売上","ﾁｹｯﾄ消化","ﾌﾟﾘﾍﾟｲﾄﾞ消化","項目割引","損金","ｷｬﾝｾﾙ手数料","ｸﾚｼﾞｯﾄ手数料","未払金"
"La pilates 大宮","30","670","81","345","7,467,670","7,467,670","181,100","298,000","0","0","2,087,070","4,623,500","70,000","0","2,000","206,000","0","0","276,000","7,191,670","102,000","0","7,089,670","5,888,852","0","0","0","0","0","0"
"合計","","","","","7,467,670","7,467,670","181,100","298,000","0","0","2,087,070","4,623,500","70,000","0","2,000","206,000","0","0","276,000","7,191,670","102,000","0","7,089,670","5,888,852","0","0","0","0","0","0"
