"店舗名","稼働日数","客数","新規","実客数","請求金額計","★支払い合計","現金","売掛金","ﾌﾟﾘﾍﾟｲﾄﾞ","EC連携","PAX-A920","クレジットカード","サブスク連携","ポイント支払い","外部ポイント","振り込み","返金対応","電子マネー","★掛回収","★総売上","施術売上","店販売上","役務売上","ﾁｹｯﾄ消化","ﾌﾟﾘﾍﾟｲﾄﾞ消化","項目割引","損金","ｷｬﾝｾﾙ手数料","ｸﾚｼﾞｯﾄ手数料","未払金"
"La pilates 川越","3","35","4","35","76,000","76,000","0","0","0","0","76,000","0","0","0","0","0","0","0","0","76,000","9,000","0","67,000","323,666","0","0","0","0","0","0"
"合計","","","","","76,000","76,000","0","0","0","0","76,000","0","0","0","0","0","0","0","0","76,000","9,000","0","67,000","323,666","0","0","0","0","0","0"
