"店舗名","稼働日数","客数","新規","実客数","請求金額計","★支払い合計","現金","売掛金","ﾌﾟﾘﾍﾟｲﾄﾞ","EC連携","PAX-A920","クレジットカード","サブスク連携","ポイント支払い","外部ポイント","振り込み","返金対応","電子マネー","★掛回収","★総売上","施術売上","店販売上","役務売上","ﾁｹｯﾄ消化","ﾌﾟﾘﾍﾟｲﾄﾞ消化","項目割引","損金","ｷｬﾝｾﾙ手数料","ｸﾚｼﾞｯﾄ手数料","未払金"
"La pilates 川越","30","465","38","217","4,892,800","4,892,800","63,500","256,000","0","0","877,800","3,481,500","74,500","0","500","115,000","0","24,000","268,000","4,624,800","40,000","0","4,584,800","4,009,528","0","0","0","0","0","0"
"合計","","","","","4,892,800","4,892,800","63,500","256,000","0","0","877,800","3,481,500","74,500","0","500","115,000","0","24,000","268,000","4,624,800","40,000","0","4,584,800","4,009,528","0","0","0","0","0","0"
